,Property description,Property type,Property Area,Number of Beds ,Number of Baths ,Property price,Property location
171,Villa in New Cairo，Palm Hills New Cairo Compound 6 bedrooms 37000000 EGP - 501203920,Villa,575.0,6.0,6.0,37000000.0,"Palm Hills New Cairo Compound, New Cairo, Cairo"
172,Under market price Very prime villa for sale palm hills katameya,Villa,380.0,6.0,6.0,57000000.0,"Palm Hills Katameya Compound, New Cairo, Cairo"
173,"In Sheikh Zayed, a 982-square-meter villa, immediate delivery, in installments, on the Cleoptra Square Direct axis",Villa,982.0,6.0,6.0,12200000.0,"Cleopatra Square Compound, Sheikh Zayed, Giza"
174,Villa in New Cairo 6 bedrooms 12000000 EGP - 501188324,Villa,295.0,6.0,6.0,12000000.0,"New Cairo, Cairo"
175,Villa 318m ready for visit less than half the price of the company in The Ridge Compound Fifth Settlement from the development of Al-Ahly Sabour,Villa,318.0,6.0,6.0,10200000.0,"5th Settlement, New Cairo, Cairo"
176,Villa in New Cairo，5th Settlement 6 bedrooms 8000000 EGP - 501186410,Villa,100.0,6.0,6.0,8000000.0,"5th Settlement, New Cairo, Cairo"
177,"Villa for Sale in Madinaty, Model B, in VG2 area, wide garden view, possibility for pool, Area (1298)",Villa,641.0,6.0,6.0,54000000.0,"Madinaty, Cairo"
178,اخر توين هاوس في ديونز الشيخ زايد بأفضل سعر,Villa,394.0,6.0,6.0,3499000.0,"Levels By Dunes Compound, Sheikh Zayed, Giza"
179,Resale Palm Hills New Cairo Luxury Villa 385m Ready to Move Prime Location,Villa,385.0,6.0,6.0,32000000.0,"Palm Hills New Cairo Compound, New Cairo, Cairo"
180,Direct on lake Fully Finished villa for sale 1st row katameya dunes,Villa,380.0,6.0,6.0,130000000.0,"Katameya Dunes Compound, New Cairo, Cairo"
181,Fully Finished Apartment With DOWN PAYMENT 500K in HYDE PARK,Apartment,79.0,1.0,1.0,10000000.0,"6th of October, Giza"
182,Without down payment and over 10 years installments - Own an apartment in Badya Compound (Palm Hills) in October in a prime location on Al Wahat Road,Apartment,98.0,1.0,1.0,8439306.0,"ZED West Compound, Sheikh Zayed, Giza"
183,Apartment in Mountain view icity october lowest price and installments up to 9 years,Apartment,110.0,1.0,1.0,10747182.0,"Taj City Compound, New Cairo, Cairo"
184,Fully finished apartment in Privado Compound Madinaty,Apartment,83.0,1.0,1.0,7980000.0,"Rivali Compound, New Cairo, Cairo"
185,Apartment For Sale In One7 Residence Hurghada,Apartment,75.0,1.0,1.0,4313000.0,"ZED West Compound, Sheikh Zayed, Giza"
186,"Apartment 85 sqm + garden 42 sqm for sale in Taj City Compound, located in a prime spot directly on the Suez Road, next to the JW Marriott Hotel.",Apartment,85.0,1.0,1.0,8000000.0,"Privado, Madinaty, Cairo"
187,Apartment 86 sqm Magawish Near Senzo mall,Apartment,85.0,1.0,1.0,3225000.0,"Noor City, New Capital City, Cairo"
188,"A special apartment in Taj City Compound, with a down payment of only 900,000 EGP, from one of the largest real estate developers, MNHD.",Apartment,115.0,1.0,1.0,9000000.0,"New Cairo, Cairo"
189,fully finished apartment with garden -palm parks- palm hills over 8years,Apartment,90.0,1.0,1.0,10918000.0,"Hurghada, Red Sea"
190,"Apartment for sale, fully finished (lowest price) in Hyde Park on the main 90th Street",Apartment,100.0,1.0,1.0,2000000.0,"Madinaty, Cairo"
191,"Furnished apartment in Al Fardous Compound, Nasr City, for sale, 150 meters",Apartment,150.0,1.0,1.0,4000000.0,"Garnet Compound, New Cairo, Cairo"
192,"89 sqm apartment for sale, fully finished and with air conditioners, in a compound in the heart of Sheikh Zayed",Apartment,89.0,1.0,1.0,8150000.0,"Al Burouj, Shorouk City, Cairo"
193,Studio for sale 66M under price market at zed west,Apartment,66.0,1.0,1.0,5350000.0,"Gouna, Red Sea"
194,Fully finished studio in a prime location in nyoum October Compound,Apartment,68.0,1.0,1.0,1701000.0,"Sheraton, Cairo"
195,Apartment in a prime location in nyoum October with the lowest down payment,Apartment,116.0,1.0,1.0,2999000.0,"Sarai, Mostakbal City, Cairo"
196,For Sale Stylish 57 sqm Studio with Premium Design,Apartment,115.0,1.0,1.0,5670000.0,"ZED West Compound, Sheikh Zayed, Giza"
197,For sale Apartment fully finished in Hyde Park Park way At the launch price Next to AUC,Apartment,126.0,1.0,1.0,6000000.0,"Garden Lakes, 6th of October, Giza"
198,"Apartment immediate delivery, Address East , Dorra, New Cairo, finished, near AUC",Apartment,105.0,1.0,1.0,9000000.0,"Sarai, Mostakbal City, Cairo"
199,Own an apartment in 5th settlement a minute to the American University with a down payment less than a million,Apartment,72.0,1.0,1.0,7500000.0,"Sarai, Mostakbal City, Cairo"
200,apartment two minutes away to 90 Street and installments over 10 years,Apartment,111.0,1.0,1.0,6100000.0,"New Cairo, Cairo"
201,Studio for sale in the heart of the Fifth Settlement with a down payment starting from 10% and installments up to 10 years,Apartment,112.0,1.0,1.0,4300000.0,"5th Settlement, New Cairo, Cairo"
